"Profit Center","Ergebnisplan Plan/Ist Kämmerer","1 Steuern und ähnliche Abgaben","2 + Zuwendungen und allgemeine Umlagen","3 + Sonstige Transfererträge","4 + Öffentlich-rechtliche Leistungsent-gelte","5 + Privatrecht-liche Leistungs-entgelte","6 + Kostenerstatt-ungen und Kostenumlagen","7 + Sonstige ordentliche Ertäge","8 + Aktivierte Eigenleistungen","10 = Ordentliche Erträge","11 - Personalauf-wendungen","12 - Versorgungsaufwendungen","13 - Aufwendungen für Sach- und Dienstleis-tungen","14 - Bilanzielle Abschreibungen","15 - Transferaufwen-dungen","16 - Sonstige ordentliche Aufwendungen","17 = Ordentliche Aufwendungen","18 = Ergebnis der laufenden Verwaltungs-tätigkeit
(= 10 + 17)","19 + Finanzerträge","20 - Zinsen und ähnliche Finanzaufwen-dungen","21 = Finanzergebnis
(= 19 + 20)","22 = Ordentliches Ergebnis
(= 18 + 21))","23 + Außerordent-liche Erträge","24 - Außerordent-liche Aufwendungen","25 = Außerordent-liches Ergebnis
(= 23 + 24)","26 = Jahresergebnis
(= 22 + 25)","27 + Erträge aus internen Leistungsbe-ziehungen","28 - Aufwendungen aus internen Leistungsbe-ziehungen","29 = Ergebnis
(= 26, 27, 28)"
"1101","Politische Gremien",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-495.517,,,-134.750,-166.435,-81.995,,-878.697,442.000,210.043,459.354,109.176,,3.132.850,4.353.424,3.474.726,,,,3.474.726,-14,27,13,3.474.740,-3.848.054,317.814,-55.501
"Ansatz 2010",,,-34,,,,-210.092,,,-210.126,405.095,66.510,184.175,3.567,,3.091.441,3.750.788,3.540.662,,,,3.540.662,,,,3.540.662,-3.842.269,301.607,
"Ansatz 2011",,,,,,,-210.092,,,-210.092,450.337,95.193,189.419,,,3.082.171,3.817.121,3.607.029,,,,3.607.029,,,,3.607.029,-3.852.878,272.849,27.000
"Plan 2012",,,-1.460,,,,-283.000,,,-284.460,492.571,68.203,196.626,63.732,,3.069.280,3.890.412,3.605.952,,,,3.605.952,,,,3.605.952,-3.925.853,319.901,
"Plan 2013",,,-1.457,,,,-283.000,,,-284.457,454.473,83.698,196.469,63.691,,3.059.550,3.857.882,3.573.425,,,,3.573.425,,,,3.573.425,-3.883.734,310.309,
"Plan 2014",,,-1.426,,,,-283.000,,,-284.426,387.364,68.851,199.548,64.467,,3.031.539,3.751.769,3.467.343,,,,3.467.343,,,,3.467.343,-3.770.822,303.479,
"Plan 2015",,,-1.426,,,,-283.000,,,-284.426,324.983,54.506,199.548,64.460,,2.967.557,3.611.053,3.326.627,,,,3.326.627,,,,3.326.627,-3.625.534,298.907,
"1102","Verwaltungsleitung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.752,,,-73.591,-30.204,-466.288,,-571.834,2.972.953,975.849,357.139,2.589,17.249,469.793,4.795.572,4.223.738,,,,4.223.738,14,-27,-13,4.223.725,-4.552.038,264.019,-64.295
"Ansatz 2010",,,-180,,,-60.000,-52.436,,,-112.616,2.762.967,298.927,260.983,5.855,27.800,477.835,3.834.366,3.721.749,,,,3.721.749,,,,3.721.749,-3.829.022,262.926,155.653
"Ansatz 2011",,,,,,-60.000,-52.456,,,-112.456,3.002.763,407.537,283.286,,11.800,477.665,4.183.051,4.070.595,,,,4.070.595,,,,4.070.595,-4.168.291,262.049,164.353
"Plan 2012",,-65.000,-258,,,,-76.800,-100,,-142.158,3.007.448,309.978,282.695,44.698,10.800,466.685,4.122.304,3.980.146,,,,3.980.146,,,,3.980.146,-4.038.882,228.081,169.344
"Plan 2013",,-65.000,-256,,,,-76.800,-100,,-142.156,3.015.283,458.294,282.223,44.792,10.800,464.871,4.276.264,4.134.108,,,,4.134.108,,,,4.134.108,-4.188.643,223.156,168.621
"Plan 2014",,-65.000,-238,,,,-76.800,-100,,-142.138,2.784.988,438.163,277.626,43.393,4.700,455.732,4.004.602,3.862.464,,,,3.862.464,,,,3.862.464,-3.911.817,209.592,160.240
"Plan 2015",,-65.000,-238,,,,-76.800,-100,,-142.138,2.708.399,418.568,277.626,43.440,1.700,455.535,3.905.268,3.763.130,,,,3.763.130,,,,3.763.130,-3.816.588,204.674,151.216
"1103","Gleichstellung von Mann und Frau",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-6.559,,-1,-1.579,-155,-55.884,,-64.179,387.882,129.311,16.266,1.279,,52.115,586.854,522.675,,,,522.675,,,,522.675,-316.407,40.363,246.631
"Ansatz 2010",,,-200,,,-1.700,-81,,,-1.981,341.510,43.276,25.375,1.279,,75.187,486.627,484.646,,,,484.646,,,,484.646,-235.281,47.515,296.881
"Ansatz 2011",,,-200,,,-1.700,-81,,,-1.981,351.197,57.763,26.410,,,76.687,512.058,510.077,,,,510.077,,,,510.077,-245.224,45.970,310.823
"Plan 2012",,,-91.838,,,-1.700,,,,-93.538,325.052,43.272,40.494,1.279,,100.162,510.259,416.720,,,,416.720,,,,416.720,-263.575,35.970,189.116
"Plan 2013",,,-28.430,,,-1.700,,,,-30.130,314.805,63.295,26.745,1.279,,85.264,491.387,461.257,,,,461.257,,,,461.257,-288.034,33.869,207.092
"Plan 2014",,,-1.479,,,-1.700,,,,-3.179,314.828,62.548,25.245,1.279,,75.381,479.281,476.101,,,,476.101,,,,476.101,-285.326,29.357,220.133
"Plan 2015",,,-1.479,,,-1.700,,,,-3.179,316.124,62.755,25.244,1.279,,75.385,480.787,477.608,,,,477.608,,,,477.608,-286.180,29.438,220.867
"1104","Rechnungsprüfung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-757,,,,-3.486,-222.456,,-226.699,1.845.423,545.138,104.918,37.257,,36.364,2.569.100,2.342.401,,,,2.342.401,,,,2.342.401,-2.109.231,104.263,337.433
"Ansatz 2010",,,-252,,,,-22.485,,,-22.738,1.868.399,180.003,125.721,900,,27.481,2.202.504,2.179.766,,,,2.179.766,,,,2.179.766,-2.251.703,129.439,57.503
"Ansatz 2011",,,,,,,-112.485,,,-112.485,1.737.784,231.615,126.455,3.199,,27.381,2.126.434,2.013.949,,,,2.013.949,,,,2.013.949,-2.174.669,124.585,-36.135
"Plan 2012",,,-639,,,,-13.656,,,-14.295,1.658.486,173.400,132.200,38.415,,25.906,2.028.407,2.014.112,,,,2.014.112,,,,2.014.112,-2.066.575,126.183,73.719
"Plan 2013",,,-639,,,,-13.656,,,-14.295,1.728.633,253.796,132.200,38.416,,26.931,2.179.976,2.165.681,,,,2.165.681,,,,2.165.681,-2.213.074,126.875,79.483
"Plan 2014",,,-639,,,,-13.656,,,-14.295,1.736.565,250.762,132.200,38.416,,26.605,2.184.547,2.170.252,,,,2.170.252,,,,2.170.252,-2.216.931,126.344,79.664
"Plan 2015",,,-639,,,,-13.656,,,-14.295,1.746.488,251.633,132.200,38.391,,26.623,2.195.335,2.181.039,,,,2.181.039,,,,2.181.039,-2.227.326,126.391,80.104
"1105","Presse- und Öffentlichkeitsarbeit",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-843,,-507,-11.171,-233,-80.552,,-93.305,1.162.108,198.248,48.444,9.178,,144.086,1.562.064,1.468.759,,,,1.468.759,,,,1.468.759,-1.077.404,212.267,603.622
"Ansatz 2010",,,,,,-18.000,-122,,,-18.122,1.126.360,70.589,69.644,1.530,,186.162,1.454.286,1.436.164,,,,1.436.164,,,,1.436.164,-1.299.998,181.777,317.943
"Ansatz 2011",,,,,,-24.000,-122,,,-24.122,971.379,91.982,67.652,300,,213.201,1.344.514,1.320.392,,,,1.320.392,,,,1.320.392,-1.156.689,179.714,343.416
